anime_id,total_seasons,total_episodes,avg_rating,max_rating,min_rating,rating_range,char_count,anime_age,is_ongoing,status_encoded,studio_encoded,total_seasons_zscore,total_episodes_zscore,avg_rating_zscore,char_count_zscore,anime_age_zscore,rating_range_zscore,total_seasons_minmax,total_episodes_minmax,avg_rating_minmax,char_count_minmax,anime_age_minmax,rating_range_minmax,genre_action,genre_drama,genre_sci-fi,genre_fantasy,genre_isekai,genre_romance,genre_sports,genre_mystery
1,3,1080,8.3,8.4,8.2,0.2,4,22,0,0,19,0.7769391071898188,6.150124725654507,0.09697094969424415,0.20319495952707334,0.9815348443241838,-0.025560137779738017,0.33333333333333337,0.9999999999999999,0.6000000000000005,0.75,0.5555555555555555,0.09090909090909091,1,0,0,0,0,0,0,0
2,4,300,8.82,8.9,8.7,0.2,5,25,1,1,27,1.5786741433325042,1.3157479153750322,1.124537063681146,2.1741860669396833,1.3444657715139392,-0.025560137779738017,0.5,0.27710843373493976,0.8600000000000003,1.0,0.6388888888888888,0.09090909090909091,1,0,0,0,0,0,0,0
3,4,88,9.05,9.1,9.0,0.1,4,11,0,0,14,1.5786741433325042,0.0017890900170212107,1.579037460252277,0.20319495952707334,-0.3492118887049193,-0.3010416227391368,0.5,0.08063021316033364,0.9750000000000005,0.75,0.24999999999999997,0.045454545454545456,1,0,0,0,0,0,0,0
4,1,37,9.0,9.0,9.0,0.0,4,18,0,0,15,-0.8265309650955518,-0.314304778347406,1.4802330262150734,0.20319495952707334,0.4976269414045099,-0.5765231076985357,0.0,0.033364226135310475,0.9500000000000002,0.75,0.4444444444444444,0.0,0,0,0,0,0,0,0,0
5,1,64,9.1,9.1,9.1,0.0,4,15,0,0,3,-0.8265309650955518,-0.1469609656838857,1.677841894289477,0.20319495952707334,0.13469601421475452,-0.5765231076985357,0.0,0.05838739573679333,1.0,0.75,0.36111111111111105,0.0,1,0,0,0,0,0,0,0
6,5,166,8.68,8.8,8.5,0.3,4,35,0,0,27,2.3804091794751896,0.4852267710449687,0.8478846483769787,0.20319495952707334,2.5542355288131238,0.24992134717966072,0.6666666666666666,0.15291936978683968,0.79,0.75,0.9166666666666666,0.13636363636363635,1,0,0,0,0,0,0,0
7,4,98,7.12,7.4,6.9,0.5,4,12,1,1,0,1.5786741433325042,0.0637682798923991,-2.2348136935837286,0.20319495952707334,-0.22823491297500087,0.8008843170984583,0.5,0.08989805375347544,0.010000000000000231,0.75,0.2777777777777778,0.22727272727272727,1,0,0,0,0,0,0,0
8,7,163,8.3,8.5,8.1,0.4,3,8,1,1,3,3.98387925176056,0.4666330140823553,0.09697094969424415,-1.7677961478855366,-0.7121428158946748,0.5254028321390596,0.9999999999999999,0.15013901760889714,0.6000000000000005,0.5,0.16666666666666666,0.18181818181818182,1,0,0,0,0,0,0,0
9,4,55,8.98,9.1,8.9,0.2,4,5,1,1,33,1.5786741433325042,-0.2027422365717258,1.4407112526001933,0.20319495952707334,-1.0750737430844302,-0.025560137779738017,0.5,0.05004633920296571,0.9400000000000004,0.75,0.08333333333333334,0.09090909090909091,1,0,0,0,0,0,0,0
10,1,148,9.0,9.0,9.0,0.0,4,13,0,0,15,-0.8265309650955518,0.3736642292692885,1.4802330262150734,0.20319495952707334,-0.1072579372450824,-0.5765231076985357,0.0,0.13623725671918444,0.9500000000000002,0.75,0.3055555555555556,0.0,1,0,0,0,0,0,0,0
